comment_id,text,comment_category,final_subjectivity_label,aspect_input,pipeline,roberta_sentiment,roberta_confidence,deberta_base_sentiment,deberta_base_confidence,deberta_base_finetuned_sentiment,deberta_base_finetuned_confidence,deberta_large_sentiment,deberta_large_confidence,deberta_models_agree,final_base_sentiment,final_base_confidence,final_finetuned_sentiment,final_finetuned_confidence,final_large_sentiment,final_large_confidence
UgxDXVxd4tj-oxbnUCB4AaABAg,"Current Base S20 user here. Finally upgrading to a base S26 and it feels awful. I need a new phone, as 5 years of daily wear and tear has caught up. However, im losing my 2k display. Losing my SD card slot. And all im getting is a moderate processor upgrade, a small RAM bump, and thats it. Also annoyed they bumped the size to 6.3"" but ill live with it. Same wireless charging wattage. At least im technically getting a camera upgrade. Still feels like a sideways move instead of an actual upgrade. Almost 6 years later, which is laughable.",overall,Subjective,overall,overall,negative,0.861,N/A,,N/A,,N/A,,,negative,0.861,negative,0.861,negative,0.861
UgzBz9gxt0Cl__P_yvB4AaABAg,"Hi, first of all, congratulations on your channel! Could you tell me if you've noticed any overheating in the device during normal use (I don't use it for gaming), and/or when using 5G mobile data, or performing any specific tasks? And what do you think the battery consumption is like compared to the S25 with Snapdragon? I need to change my phone and I'm torn between the S26 Exynos and the S25 Snapdragon. My main concerns, as I mentioned, are about device overheating (did Samsung fix the Exynos heat issues?) and battery consumption, since it has an external modem. What do you think? Thanks.",overall,Subjective,overall,overall,neutral,0.7063,N/A,,N/A,,N/A,,,neutral,0.7063,neutral,0.7063,neutral,0.7063
UgzQGaS88p1SuphBR_V4AaABAg,Mike you're being way too kind with the s26 looks like a total dud probably the only people who should upgrade maybe if you have an s20 or an S21 but besides that it's the same phone since the s22 except with a newer processor.,overall,Subjective,overall,overall,negative,0.8817,N/A,,N/A,,N/A,,,negative,0.8817,negative,0.8817,negative,0.8817
UgwQhcq35FrLlwJEVgZ4AaABAg.ATh3ll7IBY4ATh8vv50_ZN,I did the same thing im on the s21 ultra and I got the s26 ultra its a big enough leap to be worth it for me. Also my phone now its a bit buggy occasionally and battery is wonky on it,overall,Subjective,overall,overall,positive,0.4695,N/A,,N/A,,N/A,,,positive,0.4695,positive,0.4695,positive,0.4695
Ugw0FJ9Au2NxKX_GnmJ4AaABAg.ATh371-W1i3ATjQFjXXR3X,"Unfortunately, therein lies the problem. They put all of their little bit of effort into the s26 ultra. It's the Apple ladder pricing scheme again. Samsung has stopped innovating, and so has Apple",overall,Subjective,overall,overall,negative,0.8282,N/A,,N/A,,N/A,,,negative,0.8282,negative,0.8282,negative,0.8282
UgwQhcq35FrLlwJEVgZ4AaABAg.ATh3ll7IBY4AThbtHgOzx3,"I have an S23 Ultra. S26 Ultra would be a downgrade as I'd lose the curved edge, 10x telephoto camera, and S-Pen remote camera shutter button. Sure it has a faster processor. But I don't game on my phone and would never notice the difference. Sure it has a advanced privacy screen feature, but regular viewing angles are worse. Etc. Hopefully they change something for the better someday.",overall,Subjective,overall,overall,neutral,0.4499,N/A,,N/A,,N/A,,,neutral,0.4499,neutral,0.4499,neutral,0.4499
UgzWqaxrG1XxR9Rq-wV4AaABAg,I have been using S22 Ultra for 4 years now. What a beast of a phone. Not a single problem till date. But its time for an upgrade. Waiting for my S26 to be delivered,overall,Subjective,overall,overall,positive,0.9388,N/A,,N/A,,N/A,,,positive,0.9388,positive,0.9388,positive,0.9388
UgxIy_3f7hY30M2E3bx4AaABAg.ATeipA16zkMATfDpa7OBgK,@isiterrorits definitely better than the s25 in camera and battery. Dont know about the s26 but it is cheaper than the s26 so there is that.,overall,Subjective,overall,overall,positive,0.9056,N/A,,N/A,,N/A,,,positive,0.9056,positive,0.9056,positive,0.9056
UgyCw7Jx21nJ8xaaV0h4AaABAg,I am trying to buy a new phone nothing wrong with my 4 yr old s22 but it's battery has start to hurt my day to day task but the UI and everything feels sad on the s26 like nothing has changed the past 4 years,overall,Subjective,overall,overall,negative,0.8475,N/A,,N/A,,N/A,,,negative,0.8475,negative,0.8475,negative,0.8475
UgxPZOue6hay9Rxa-1x4AaABAg.ATucHvWT6KxATw90Q-T00V,"@sudewsanu now thats some grade A bs, the iphone 17 has 2 flagship sensors as well as anti reflective coating, faster charging, mag safe and centre stage, compare that to the S26’s 4 year old cameras first seen on the S22, slower charging, worse display ect and the 17 costs $100 less then the S26",overall,Subjective,overall,overall,negative,0.7578,N/A,,N/A,,N/A,,,negative,0.7578,negative,0.7578,negative,0.7578
Ugx1TdCOrREGKrnXuNV4AaABAg.AU8Qb1YuCWKAU8QxhOxDN_,"Hmm I agree... S26 has a unusual reddish tone in photos, which I don't like but videography of s26 is better than x300... I'm a part time photographer and I click zoomed shots more , so for me x300 is a better choice... I'm planning for x300 ... Cam is good according to the price",overall,Subjective,overall,overall,neutral,0.4335,N/A,,N/A,,N/A,,,neutral,0.4335,neutral,0.4335,neutral,0.4335
UgzQGaS88p1SuphBR_V4AaABAg.ATepxtXPHLsAToBadUyyCb,"The Exynos 2200 in the S22 is very inefficent. Maybe one of the most inefficent one in the S-Series. And the battery is 600mah smaller. That's why I switch from the S22 to the S26. And I guess the NPU ist muss faster. In Sony APS-C cameras the sensors didn't improve for years, but the processors behind made a big difference. Better White balance, a way better Auto focus and face detection and an better automatic modus, when you want to take a snapshot from children or animals. When you are just shouting landscapes with no movement and good conditions then you don't see a difference.",overall,Subjective,overall,overall,negative,0.6414,N/A,,N/A,,N/A,,,negative,0.6414,negative,0.6414,negative,0.6414
UgxVk6d6SYQg_toeJnx4AaABAg,I will buy the s26 plus maybe in 2028 when its cheaper but i really dont like having an ai baby sitter inside my phone 😊,overall,Subjective,overall,overall,negative,0.5447,N/A,,N/A,,N/A,,,negative,0.5447,negative,0.5447,negative,0.5447
Ugys_VOzZKnaA-rWm1R4AaABAg,S22 Ultra - S26 Ultra. All i see is new chipset and privacy gimmick. If Samsung had at least upgraded to a bigger battery this years phone would be kinda okay.,overall,Subjective,overall,overall,neutral,0.4935,N/A,,N/A,,N/A,,,neutral,0.4935,neutral,0.4935,neutral,0.4935
Ugz8MQh1F4bDehsxmJ94AaABAg,"Coming from galaxy a55. The only one i can afford is the s26 base. Its making me feel bad since I already preorder the base model, but has hearing lot of negatives. Hahays.",overall,Subjective,overall,overall,negative,0.8851,N/A,,N/A,,N/A,,,negative,0.8851,negative,0.8851,negative,0.8851
UgwPk0Kfvzx5IWdbF-d4AaABAg,Even though i'm a Samsung user since long time. I'm really disappointed with S25 and S26 series. Apple cooked with iphone 17 this year. Bravo Apple 👏 gonna stick with my S24 ultra. Samsung's last real ultra model. 💪,overall,Subjective,overall,overall,positive,0.4125,N/A,,N/A,,N/A,,,positive,0.4125,positive,0.4125,positive,0.4125
Ugxg3CaTkHqLpUUEFAN4AaABAg,"Hmm yes S26 is not amazing for portraits, iphone 17 often is better. Overall I think some other older phones had better results in terms of non-oversharpened natural look. Yet we probably expect a from phones these days. Would love to see more video tests as well as panning tests.",overall,Subjective,overall,overall,negative,0.6467,N/A,,N/A,,N/A,,,negative,0.6467,negative,0.6467,negative,0.6467
UgyPXA7-qhvLHRmyiCZ4AaABAg,Samsung was a prestige phone brand years ago everyone wanted to get hands on their phones shame that they left their costumers for AI and s26/s26+ including other years before they didn't give samsung any money that's way they ditched snapdragon to other regions to cut costs and with 100 dollars more they now will have 0 sales,overall,Subjective,overall,overall,negative,0.6763,N/A,,N/A,,N/A,,,negative,0.6763,negative,0.6763,negative,0.6763
UgzQGaS88p1SuphBR_V4AaABAg.ATepxtXPHLsATnHrZOT9Ky,"​@Lemonade_Stand_yeah, I would definitely go to Best Buy and take a look. But i'm pretty sure if you watch the reviews, the cameras are exactly the same as the 25+ and the battery hasn't increased at all on the plus model... Now the base S26 has a larger battery than the S25 ...So that one's increased a little bit.",overall,Subjective,overall,overall,positive,0.499,N/A,,N/A,,N/A,,,positive,0.499,positive,0.499,positive,0.499
UgzQGaS88p1SuphBR_V4AaABAg.ATepxtXPHLsATnX7pl3iuz,​@jejunamjai also might look at the google pixel.. ive been hearing good things about that one too. Ill probably wait a few weeks for more reviews and comparisons to come out for the s26. My S21 is still fine for the most part (battery could be better but it's not terrible) so im not in a huge rush. I appreciate your input.,overall,Subjective,overall,overall,positive,0.8837,N/A,,N/A,,N/A,,,positive,0.8837,positive,0.8837,positive,0.8837
UgzQGaS88p1SuphBR_V4AaABAg.ATepxtXPHLsATh2nhhO-hn,"Same. I'm older but even if I was still in my early 20s I wouldn't see a justifiable reason to upgrade my phone till it dies. I'm gonnna replace the battery soonish for ~$20 and ride this for another 2-3 years. Then I might buy a used/good condition s26 or s27 for 1/3 of the price, like how I did with my s21.",overall,Subjective,overall,overall,negative,0.5052,N/A,,N/A,,N/A,,,negative,0.5052,negative,0.5052,negative,0.5052
Ugyvwvji_X9mF9T-GyJ4AaABAg.AU3CJOxYIRgAU69oAfVn0Y,"Im switching from an s20+ 5G 512GB to s26+ 5G 512GB . Ive changed the battery once but it is still a great phone. The only issue I had was screen burn from youtube and the top bar with time/battery/signal etc.. its permanently burned into screen. Im sure I will enjoy the newer experience, as ive not had the 21 to 25 series",overall,Subjective,overall,overall,positive,0.8869,N/A,,N/A,,N/A,,,positive,0.8869,positive,0.8869,positive,0.8869
UgzYmat81aw0vHI8zGx4AaABAg,"Okay this is super useful, for ages I've been stuck with a Chinese cheap brand phone and it's been driving me insane of how awful it works and this video helped me to make comparisons between the s25 and s26 so I can buy one and since I'm more of a specs guy that's more or less all what I mostly care about, I'm even considering getting the plus version if the battery is better",overall,Subjective,overall,overall,positive,0.5931,N/A,,N/A,,N/A,,,positive,0.5931,positive,0.5931,positive,0.5931
UgwpQPYAuf8ZLIU0HeR4AaABAg,Kind of funny they made the s26 bigger then s25 and the reason people bought the base model yes one cuz it was the cheapest but cuz it was a smallish phone but even that isn't quite what it used to be. I don't think anybody should buy the s26 you should just buy the s25 save a whole bunch of money i hope the s26 is their worst selling phone ever and so Samsung gets the hint.,overall,Subjective,overall,overall,negative,0.4624,N/A,,N/A,,N/A,,,negative,0.4624,negative,0.4624,negative,0.4624
UgwQhcq35FrLlwJEVgZ4AaABAg.ATh3ll7IBY4ATq3XcIimdE,"​@curist8411 I ended up taking advantage of the deal through AT&T since they were offering $900 for my S20. So I have an S26 Ultra en route to my house. I hate to part ways with my 20, it's been a damn good phone to me for the last 6 years, but the battery life and performance are starting to show some age and the deal was too good to pass up. I plan on having the S26 for at least the next 6 just like this one!",overall,Subjective,overall,overall,positive,0.812,N/A,,N/A,,N/A,,,positive,0.812,positive,0.812,positive,0.812
UgzcL-ii1at1zrmE_OZ4AaABAg,"The only upgrade the base S26 got is a larger storage amount of 512 GB. While I'm glad a smaller phone is getting more storage that isn't a Pixel, it definitely needs more. And admittedly that's the reason why I'm getting one. Tried a number of different phones and each had their quirks I couldn't get past. (Pixel devices have this obnoxiously large camera bump making any case unable to protect said camera, and my S25 Plus was so damn huge) The S26 is still a good device but way too fricken expensive for what it offers.",overall,Subjective,overall,overall,neutral,0.3917,N/A,,N/A,,N/A,,,neutral,0.3917,neutral,0.3917,neutral,0.3917
UgwMgVK38BF47QithDN4AaABAg,"Thanks for checking out my Samsung S26 review, you're smashing you are. Not had a great time with it so far, but here's hoping some OTAs can sort out some of these problems soon - I'll certainly try and revisit it in another month or two. For now, let us know your thoughts below, and have a lovely day xx",overall,Subjective,overall,overall,positive,0.9021,N/A,,N/A,,N/A,,,positive,0.9021,positive,0.9021,positive,0.9021
Ugyxq0gvqkggOgbnJ0B4AaABAg.ATeqy0BWNUNATfV8A6Edyh,"I currently own S23. S26 with a bigger size and negligible battery upgrade, is absurd. Will shift to one plus or vivo.",overall,Subjective,overall,overall,negative,0.7533,N/A,,N/A,,N/A,,,negative,0.7533,negative,0.7533,negative,0.7533
Ugw-opTQJo6bs3KwoNd4AaABAg,Samsung s26 is perfect full package and I feel is better than the ultra,overall,Subjective,overall,overall,positive,0.9765,N/A,,N/A,,N/A,,,positive,0.9765,positive,0.9765,positive,0.9765
Ugyvkprgj8Qzn2n3GBR4AaABAg.ATp18se41GJATrIKHnsPq5,"Base mode galaxy s26 is using 100% the same old camera from s23,24 and s25.",overall,Subjective,overall,overall,neutral,0.8054,N/A,,N/A,,N/A,,,neutral,0.8054,neutral,0.8054,neutral,0.8054
Ugy98z7Fp4H3KmNLRl14AaABAg.AU8KcyGMlybAU9d8RqS0L4,"@Judas410 the heavy still same to reguler series, just 162-167 gram between S25 reguler & S26 reguler ,,, add more 300 mah battery, still acceptable, but camera hardware ? well, need more upgrade.",overall,Subjective,overall,overall,neutral,0.6809,N/A,,N/A,,N/A,,,neutral,0.6809,neutral,0.6809,neutral,0.6809
Ugy98z7Fp4H3KmNLRl14AaABAg.AU8KcyGMlybAUA9jRUPysA,"@eruno_ The thing is though, back then phones above 5.5 inch or above feel like phablets because they're wide and big, but a lot of the front is occupied by bezels. Now every new phone is pretty much bezel-less and taller (instead of wider) so the compact phones of today is almost similar to compact phones of old. The base iPhone 7 dimensions is 138.3 x 67.1 x 7.1 mm. Meanwhile, the base S26 is 149.6 x 71.7 x 7.2 mm. That's a 11mm increase on length while the screen is 1.6 inches larger. I have the base S25 and my dad still has the old iPhone 7, and barely noticed the physical size difference.",overall,Subjective,overall,overall,neutral,0.7131,N/A,,N/A,,N/A,,,neutral,0.7131,neutral,0.7131,neutral,0.7131
Ugw_RhCVi8YEN1-5u9p4AaABAg,It was originally “My problem with the Samsung s26 ultra”😂 I see you Austin 😅,overall,Subjective,overall,overall,neutral,0.6403,N/A,,N/A,,N/A,,,neutral,0.6403,neutral,0.6403,neutral,0.6403
UgxYat6pLRVvcuUj5KR4AaABAg,"I just pre-ordered a Galaxy S26 Ultra, and I'm getting even more excited after hearing this good news. The only problem I have now is which case to buy. Can you guys recommend a good case other than Samsung's official cases? Thanks",overall,Subjective,overall,overall,positive,0.9655,N/A,,N/A,,N/A,,,positive,0.9655,positive,0.9655,positive,0.9655
Ugxw847Da3UP7MFPDEB4AaABAg.ATmDJjqi1djATmWZpD-2Hk,"​@darshan6505 same thing in the 17 pro max twin. a bigger battery compared to the 16 pro max. But in the s26 ultra it's not just the privacy screen though. Ai, camera, software improvements also included. The camera stabilization is so good that you can literally turn your phone 360° and your video will remain stable asf. Can your iPhone do these?",overall,Subjective,overall,overall,positive,0.7491,N/A,,N/A,,N/A,,,positive,0.7491,positive,0.7491,positive,0.7491
UgyHai3bgzUfa4BbMFt4AaABAg,I switched from an S24 Ultra to a Vivo X200 Pro (end of 2024 phone) and man I'm still impressed both by the cam quality and also the battery life. My X200 Pro to the day still yakes better photos than the iPhone 17 Pro Max AND the S26 Ultra. And the video is not far behind to be honest. That Zeiss color science is UFF 🔥🔥🔥,overall,Subjective,overall,overall,positive,0.9686,N/A,,N/A,,N/A,,,positive,0.9686,positive,0.9686,positive,0.9686
Ugzg-sndpo5_5ahGBVx4AaABAg.AUBWmv_56hZAUC9QxIhiJu,I use Samsung from Galaxy S 3G 2012 and still work to now . Just can not download any from google no more and battery 25 mins too heheheh And the S26 Ultra look like S26+ that's what you see missing there buddy . I'm waiting for them to bring back my Galaxy Note or I'll won't buy any phone but Samsung Tablet because Samsung Dex very useful .,overall,Subjective,overall,overall,positive,0.5087,N/A,,N/A,,N/A,,,positive,0.5087,positive,0.5087,positive,0.5087
Ugwx-cvuSrasUtZzX094AaABAg,"So the s26 ultra is more of a camera Phone than a normal regular business phone ? This is the more reason the iPhone users are just mocking us. Every advert i see about the s26 ultra is all about privacy screen and camera.. Can't we just think of a better way to promote this s26 ultra for goodness sake.. it's just pissing me off the way u guys is just hyping this phone. Anyways, I m still rocking my s25 ultra",overall,Subjective,overall,overall,negative,0.7488,N/A,,N/A,,N/A,,,negative,0.7488,negative,0.7488,negative,0.7488
Ugw0ZT9hnOF8j5dXCM54AaABAg,"I have a major question, and I need an honest answer soon, please. My iPhone 7 broke down two days ago, and it’s not worth the money to repair it. I started looking into phones, but I’m so overwhelmed by all the choices. However, I’ve narrowed it down to a few options: the Samsung S26 Ultra, the S25 Ultra, the S26+, the iPhone 17, 17 Pro, 17 Pro Max, or any Google phone (even though I don’t really like the design. Still, they seem to have really powerful AI). Does anyone know which would be the right option to buy? Thanks in advance.",overall,Subjective,overall,overall,negative,0.6305,N/A,,N/A,,N/A,,,negative,0.6305,negative,0.6305,negative,0.6305
UgzO5fFdeBmAQIUVTFt4AaABAg,"Still in love with my S24 Ultra... I thought the S26 Ultra was going to be when I wanted to upgrade, but nah. Yeah, I'm a sucker for performance, but the S24 Ultra is still flying. Loving the camera too. And one more thing I love about my S24 Ultra is your review on it... no other Ultra has deserved that kind of review this year. Why buy another phone? Still two years later (at least why buy another Samsung Ultra, right?)",overall,Subjective,overall,overall,positive,0.9469,N/A,,N/A,,N/A,,,positive,0.9469,positive,0.9469,positive,0.9469
Ugx9spTf0bmsXPpzm1t4AaABAg,He's actually making the point for why you shouldn't buy the s26 ultra. If you can't notice any differences besides the washed out privacy screen then what's the point. Samsung makes 10-bit screens for other OEMs but not for their own $1400 devices?? I'm holding on to my S24 ultra. When that's done I'll think about Vivo or Xiaomi!!!... And yes I'm still bitter about removing the Bluetooth spen and charging the same or more!!!,overall,Subjective,overall,overall,negative,0.521,N/A,,N/A,,N/A,,,negative,0.521,negative,0.521,negative,0.521
UgxtnlW3rUAPGb4h0DR4AaABAg,"I cant see why people hating on the s26 ultra it is such a great phone. I can tell this guy is not pushing the s26 ultra to its max performance and he doesn’t need to get good quality out of this phone. Samsung is using a smaller sensor to challenge the competition with their 1 inch sensor and still Samsung out perform them in some areas. If it was Samsung the world would be cursing them. You have the camera assistant, that new tect to help you after finishing taking pictures. Plus there is more i just recall those features right now. Not to mention its AI capability its not like no other",overall,Subjective,overall,overall,neutral,0.4029,N/A,,N/A,,N/A,,,neutral,0.4029,neutral,0.4029,neutral,0.4029
UgzpsxE4C4n3bzAgnm14AaABAg,"As they say, jealousy makes you nasty. I have the S25 Ultra, and super happy with it. I might look at a new Samsung phone in 5 years time. No reason for me to bash any new Samsung phones, if I had a four year old phone, I would have picked up the S26 Ultra. Love the privacy screen.",overall,Subjective,overall,overall,positive,0.9203,N/A,,N/A,,N/A,,,positive,0.9203,positive,0.9203,positive,0.9203
UgwbCEHEhOC7sH3dwEl4AaABAg.AUEAv6OOSYdAUFz1bNsrZC,"​@A__pb Wrong way around. You mean when privacy is off. Turning privacy on is what lowers the resolution and brightness (half the pixels turn off). And well S26 Ultra has longer battery life than S25u (due to efficiency). Plus 60w charging is so fast, already made a huge change for me. Cameras are more natural colors, less grey with harsh shadows like S25U. And better low light on camera.",overall,Subjective,overall,overall,neutral,0.5903,N/A,,N/A,,N/A,,,neutral,0.5903,neutral,0.5903,neutral,0.5903
UgwsiNouAaCg1R9M8P54AaABAg,Upgraded from my s22 ultra only because it stop recognizing sim cards. Got my s26 ultra and it really doesnt feel like much of an upgrade. Everything new I've noticed is software. No more 10x hardware zoom. A notable increase in overall thickness with the camera bump. I hated the fragility of the edge display but it did look really nice on the older Samsung phones. Battery life seems better so far but what hardware advancements have really been made in the last 4 years?,overall,Subjective,overall,overall,neutral,0.454,N/A,,N/A,,N/A,,,neutral,0.454,neutral,0.454,neutral,0.454
Ugz5M-ki65Py8Zbv4ml4AaABAg.ATrkOKEzwd7ATuFgK2eVbN,"Update - Samsung is using 8 Bit Display on Samsung Galaxy S26 Ultra, not the 10 Bit Display which they falsely advertised.. Hugely Disappointed from Samsung.. 😞😞😞",overall,Subjective,overall,overall,negative,0.872,N/A,,N/A,,N/A,,,negative,0.872,negative,0.872,negative,0.872
Ugz1d57vZBSM-iiyvjB4AaABAg,"The fear I have of heavy use + Heavy multitask and heavy network task, Ahhh Samsung is loosing what like, Bro can't buy iphone cause app weird almost software collapse keyboard issues and weird can't download photos like regular android and😢😢😢 also ecosystem ahhh why Samsung s26 ultra why switch titanium to aluminum and why you still have no consistent stable performance and smoothie delivery, also please apple 😢😢 be more freedom like android please please 😢😢",overall,Subjective,overall,overall,negative,0.9185,N/A,,N/A,,N/A,,,negative,0.9185,negative,0.9185,negative,0.9185
